name,country,subcountry,geonameid
Tortosa,España,Cataluña,3107677
Torrelodones,España,Madrid,3107765
Torrelavega,España,Cantabria,3107775
Torrejón de Ardoz,España,Madrid,3107784
Torredembarra,España,Cataluña,3107807
Tordera,España,Cataluña,3107955
Tolosa,España,País Vasco,3108008
Tetuán de las Victorias,España,Madrid,3108118
Teruel,España,Aragón,3108126
Teo,España,Galicia,3108165
Tàrrega,España,Cataluña,3108285
Terrassa,España,Cataluña,3108286
Tarragona,España,Cataluña,3108288
Tarancón,España,Castille-La Mancha,3108317
Soria,España,Castilla y León,3108681
Sitges,España,Cataluña,3108877
Sestao,España,País Vasco,3109041
Seseña,España,Castille-La Mancha,3109050
Segovia,España,Castilla y León,3109256
Cerdanyola del Vallès,España,Cataluña,3109402
Sant Vicenç dels Horts,España,Cataluña,3109442
Barakaldo,España,País Vasco,3109453
Santurtzi,España,País Vasco,3109481
Sant Just Desvern,España,Cataluña,3109546
Santiago de Compostela,España,Galicia,3109642
Santa Perpètua de Mogoda,España,Cataluña,3109689
Santander,España,Cantabria,3109718
Barberà del Vallès,España,Cataluña,3109804
Santa Coloma de Gramenet,España,Cataluña,3109981
San Sebastián de los Reyes,España,Madrid,3110040
Donostia / San Sebastián,España,País Vasco,3110044
Sant Quirze del Vallès,España,Cataluña,3110101
Sant Pere de Ribes,España,Cataluña,3110143
San Martín de la Vega,España,Madrid,3110360
San Lorenzo de El Escorial,España,Madrid,3110458
Vilassar de Mar,España,Cataluña,3110516
Sant Joan Despí,España,Cataluña,3110519
Sanxenxo,España,Galicia,3110610
San Fernando de Henares,España,Madrid,3110627
Sant Feliu de Llobregat,España,Cataluña,3110642
Sant Feliu de Guíxols,España,Cataluña,3110643
Sant Cugat del Vallès,España,Cataluña,3110718
Sant Celoni,España,Cataluña,3110813
Sant Carles de la Ràpita,España,Cataluña,3110821
Sant Boi de Llobregat,España,Cataluña,3110834
Sant Andreu de Palomar,España,Cataluña,3110876
San Andrés del Rabanedo,España,Castilla y León,3110880
Sant Andreu de la Barca,España,Cataluña,3110885
Sant Adrià de Besòs,España,Cataluña,3110921
Sama,España,Asturias,3110962
Salt,España,Cataluña,3110983
Salou,España,Cataluña,3110986
Salamanca,España,Castilla y León,3111108
Sabadell,España,Cataluña,3111199
Rubí,España,Cataluña,3111294
Roses,España,Cataluña,3111348
Ripollet,España,Cataluña,3111605
Ribeira,España,Galicia,3111807
Reus,España,Cataluña,3111933
Errenteria,España,País Vasco,3112011
Redondela,España,Galicia,3112154
Puente de Vallecas,España,Madrid,3112737
Ponteareas,España,Galicia,3112761
Premià de Mar,España,Cataluña,3112866
Pozuelo de Alarcón,España,Madrid,3112989
Poio,España,Galicia,3113035
Portugalete,España,País Vasco,3113082
Porriño,España,Galicia,3113157
Pontevedra,España,Galicia,3113209
Ponferrada,España,Castilla y León,3113236
Plasencia,España,Extremadura,3113331
