name,country,subcountry,geonameid
Gáldar,España,Canarias,2517436
Fuengirola,España,Andalucía,2517595
Felanitx,España,Balearic Islands,2517750
Estepona,España,Andalucía,2517816
El Viso del Alcor,España,Andalucía,2518040
El Puerto de Santa María,España,Andalucía,2518207
El Ejido,España,Andalucía,2518494
Elda,España,Valencia,2518505
Elche,España,Valencia,2518559
El Arahal,España,Andalucía,2518729
Écija,España,Andalucía,2518770
Dos Hermanas,España,Andalucía,2518794
Don Benito,España,Extremadura,2518820
Denia,España,Valencia,2518878
Daimiel,España,Castille-La Mancha,2518924
Cullera,España,Valencia,2518949
Quart de Poblet,España,Valencia,2519068
Crevillente,España,Valencia,2519110
Coria del Río,España,Andalucía,2519233
Córdoba,España,Andalucía,2519240
Conil de la Frontera,España,Andalucía,2519289
Coín,España,Andalucía,2519367
Ciudad Real,España,Castille-La Mancha,2519402
Cieza,España,Murcia,2519425
Xirivella,España,Valencia,2519466
Chipiona,España,Andalucía,2519477
Chiclana de la Frontera,España,Andalucía,2519513
Cehegín,España,Murcia,2519651
Catarroja,España,Valencia,2519690
Castilleja de la Cuesta,España,Andalucía,2519738
Castelló de la Plana,España,Valencia,2519752
Cartaya,España,Andalucía,2520052
Cártama,España,Andalucía,2520055
Cartagena,España,Murcia,2520058
Carmona,España,Andalucía,2520118
Carlet,España,Valencia,2520121
Carcaixent,España,Valencia,2520150
Caravaca,España,Murcia,2520171
Candelaria,España,Canarias,2520283
Campo de Criptana,España,Castille-La Mancha,2520413
Campiña,España,Andalucía,2520425
el Campello,España,Valencia,2520447
Camas,España,Andalucía,2520477
Calvià,España,Balearic Islands,2520493
Calp,España,Valencia,2520496
Callosa de Segura,España,Valencia,2520502
Cadiz,España,Andalucía,2520600
Cáceres,España,Extremadura,2520611
Cabra,España,Andalucía,2520645
Burriana,España,Valencia,2520709
Burjassot,España,Valencia,2520712
Bormujos,España,Andalucía,2520833
Bétera,España,Valencia,2520968
Berja,España,Andalucía,2521016
Benidorm,España,Valencia,2521088
Benetússer,España,Valencia,2521105
Benalmádena,España,Andalucía,2521139
Baza,España,Andalucía,2521215
Barbate de Franco,España,Andalucía,2521335
Bailén,España,Andalucía,2521410
Baeza,España,Andalucía,2521413
Baena,España,Andalucía,2521415
Badajoz,España,Extremadura,2521420
Ayamonte,España,Andalucía,2521456
Atarfe,España,Andalucía,2521485
Atamaría,España,Murcia,2521486
Aspe,España,Valencia,2521510
Arucas,España,Canarias,2521519
Arrecife,España,Canarias,2521570
Arona,España,Canarias,2521582
Armilla,España,Andalucía,2521590
Arcos de la Frontera,España,Andalucía,2521665
Archena,España,Murcia,2521676
Antequera,España,Andalucía,2521710
Andújar,España,Andalucía,2521738
Altea,España,Valencia,2521804
Almuñécar,España,Andalucía,2521847
Almoradí,España,Valencia,2521855
Almonte,España,Andalucía,2521857
Almería,España,Andalucía,2521886
Almendralejo,España,Extremadura,2521893
Almassora,España,Valencia,2521909
Almansa,España,Castille-La Mancha,2521923
Aljaraque,España,Andalucía,2521964
Alicante,España,Valencia,2521978
Alhaurín el Grande,España,Andalucía,2521985
Alhaurín de la Torre,España,Andalucía,2521986
Alhama de Murcia,España,Murcia,2521992
Algemesí,España,Valencia,2522012
Algeciras,España,Andalucía,2522013
Alfafar,España,Valencia,2522057
Aldaia,España,Valencia,2522077
Alcúdia,España,Balearic Islands,2522091
Alcoy,España,Valencia,2522098
Alzira,España,Valencia,2522129
Alcázar de San Juan,España,Castille-La Mancha,2522131
Alcantarilla,España,Murcia,2522152
Alcalá la Real,España,Andalucía,2522160
Alcalá de Guadaira,España,Andalucía,2522165
Alboraya,España,Valencia,2522203
Albolote,España,Andalucía,2522208
Albal,España,Valencia,2522250
Albacete,España,Castille-La Mancha,2522258
Alaquàs,España,Valencia,2522297
Agüimes,España,Canarias,2522325
Águilas,España,Murcia,2522333
Adra,España,Andalucía,2522430
Adeje,España,Canarias,2522437
Groa de Murviedro,España,Valencia,2567529
Zarautz,España,País Vasco,3104316
Zaragoza,España,Aragón,3104324
Zamora,España,Castilla y León,3104342
Viveiro,España,Galicia,3104475
Gasteiz / Vitoria,España,País Vasco,3104499
Vinaròs,España,Valencia,3104584
Villaviciosa de Odón,España,Madrid,3104703
Villaverde,España,Madrid,3104748
Villaquilambre,España,Castilla y León,3105148
Vilanova i la Geltrú,España,Cataluña,3105184
Villanueva del Pardillo,España,Madrid,3105214
Villanueva de la Cañada,España,Madrid,3105247
Vilalba,España,Galicia,3105522
Vilagarcía de Arousa,España,Galicia,3105575
Vilafranca del Penedès,España,Cataluña,3105600
Vila-seca,España,Cataluña,3105803
Vilaseca,España,Cataluña,3105805
Viladecans,España,Cataluña,3105935
Vigo,España,Galicia,3105976
Vic,España,Cataluña,3106050
Vicálvaro,España,Madrid,3106054
El Vendrell,España,Cataluña,3106180
Valls,España,Cataluña,3106492
Valladolid,España,Castilla y León,3106672
Valdemoro,España,Madrid,3106868
Rivas-Vaciamadrid,España,Madrid,3107112
Utebo,España,Aragón,3107139
Tui,España,Galicia,3107364
Tudela,España,Navarre,3107418
